product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,28/5/2023,"1.0 out of 5 stars
Smelled awful!",1,"I’ve used this lotion for years and love it because it’s unscented. I ordered it from Amazon for the first time and it smells SO BAD! It has a fishy, rancid smell that can only be because it’s spoiled or something! What a waste :-(",8
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,28/12/2023,"1.0 out of 5 stars
Broken",1,The top doesn’t work at all. Don’t recommend it.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/5/2023,"1.0 out of 5 stars
Bad reaction to this lotion",1,After only using this lotion for 2 days my skin broke out into the worse burn/rash. My skin peeled for days after and was bright red and burning. I stopped using immediately and my skin healed after a while but it damaged my skin a lot.,6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/9/2021,"1.0 out of 5 stars
Great product, terrible shipping and handling",1,"I've bought this lotion multiple times in the past and every package and product was delivered in pristine condition. However this time around, I received a product with the contents leaking out. I'm not sure if the container had a leak or the cap not sealed properly because I didn't want to put my hands into the package filled with lotion. I requested for a replacement. I really wanted to write a good review, but the replacement arrived and this time the cap and push dispenser was broken.Product itself is great, but care of terrible shipping and handling, even when ordering  a replacement.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/9/2021,"1.0 out of 5 stars
Has a very distinct fishy odor",1,I’m not sure what it is but when you first apply this it has a very strong fishy smell that eventually goes away but I’ve been using this moisturizer for years and it has never smelt like that before. Not sure it this is authentic or a defective bottle but I’m not the only one that has noticed this scent. I just went to cvs to get a bottle and that one has no fishy smell so definitely the one I ordered on Amazon was defective. I’d recommend you just go to the store to get this because it really is a great moisturizer!!,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/8/2023,"1.0 out of 5 stars
Smells fishy",1,"I’ve been using this lotion for years, though usually I buy in person from target. I’ve noticed this lotion has a rotten fish odor. Nasty. Would love to return, but the return window has passed.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,18/12/2023,"1.0 out of 5 stars
Damage",1,I received the box right now and The whole cream is out of the box,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,4/5/2023,"1.0 out of 5 stars
Damaged",1,"This is not my first time ordering this, the lotion is really good but the handling is really terrible and this is not the first time something like this has happen, so if you’re buying this, just put it in your mind that something like this will likely happen",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/1/2024,"1.0 out of 5 stars
Terrible product",1,"The media could not be loaded.
                



This product is broken why you guys send me this thing like this ?",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,8/1/2024,"1.0 out of 5 stars
Damaged",1,Came open and spilled everywhere,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,9/1/2024,"1.0 out of 5 stars
Arrived with damaged pump",1,,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/7/2023,"1.0 out of 5 stars
Bad batch?",1,I’ve been using this for years with no issue. My latest bottle smelled really off; almost fishy?! I missed the return date so I’ll have to just throw it out. I’ll buy from the drugstore from now on.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/6/2022,"1.0 out of 5 stars
First Time CeraVe User",1,"I decided to transition to using the CeraVe products because they’re all so highly rated. This lotion was the first product I bought and I’ve used it twice. Both times, all areas where I rubbed this stuff on after showering have just starting itching. BAD. Like I’m being bitten by fire ants. I’ve applied a second layer to try and tame it with no luck, maybe even made it worse. Guess I won’t be buying anymore and will be returning this.",4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,4/1/2024,"1.0 out of 5 stars
The lid was off and lotion all over the inside of the box! Returning.",1,,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/6/2022,"1.0 out of 5 stars
Smells like expired makeup foundation",1,"I wish i believed the lowly rated reviews..I don't know about the fishy smell that they are talking about..but to me, this smells like expired makeup foundation or lipstick.. or something rotten.. and it stays on your face for awhile after using, and im disappointed that i bought this and used this.I will stick with my usual Cetaphil face & body moisturizer.  :/",0
